기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
티디솔루션,경력무관 · 정규직,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","광주 광산구 평동산단7번로 86, 2층",자율주행,중소기업업종그 외 기타 달리 분류되지 않은 제품 제..,6,-,117
그레이스앤파트너스,경력 4년↑ · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 13층",자율주행,"중소기업, 스타트업, 주식회사, 병역특례..업종산업용 로봇 제조업",75,-,118
써치스퀘어,4 ~ 11년 · 정규직,면접 후 결정,"서울 영등포구 국제금융로6길 33, 1311호",자율주행,중소기업업종고용 알선업홈페이지,-,-,119
맨파워코리아,3 ~ 10년 · 정규직,면접 후 결정,서울 강남구 테헤란로 409,자율주행,"중견기업, 외국인 투자기업, 외부감사법인업종상용 인력 공급 및 인사관리 서비스업",11000,"2,223억 8,396만",120
프로써치코리아,3 ~ 12년 · 정규직,면접 후 결정,서울 강남구 테헤란로 333 신도벤처타워 10층,자율주행,주식회사업종시설관리·경비·용역,6,-,121
브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",자율주행,중소기업업종경영 컨설팅업설립일*,-,-,122
솔찬컴퍼니,경력 5년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,123
디지트론,신입 · 경력 · 정규직 외,회사내규에 따름,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",드론,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-,124
전문건설공제조합기술교육원,신입 · 경력 · 교육생,면접 후 결정,충북 음성군 금왕읍 609,드론,-,-,-,125
프리뉴,경력 2년↑ · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만",126
케이엠티,경력 3년↑ · 정규직,면접 후 결정,대전 유성구 테크노2로 120-7,드론,"중소기업, 주식회사, 수출입 기업업종무인 항공기 및 무인 비행장치 제조업설립일",-,-,127
한국자동차연구원,경력무관 · 계약직,면접 후 결정,충남 천안시 동남구 풍세면 풍세로 303,드론,"기타, 비영리단체/협회업종기타 엔지니어링 서비스업",802,-,128
플레이코딩유한책임회사,경력 1년↑ · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, A동 906호",드론,"중소기업, 사단법인, 협동조합업종기타 교육지원 서비스업",10,10조,129
현대자동차,경력 5년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,130
현대자동차,경력 5년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,131
현대자동차,경력 3년↑,면접 후 결정,서울 서초구 헌릉로 12,드론,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,132
태경전자,경력 2년↑ · 정규직,면접 후 결정,경기 안양시 동안구 귀인로 15,드론,중소기업업종그 외 기타 전자부품 제조업,26,-,133
네스앤텍,경력무관 · 정규직,면접 후 결정,대전 유성구 테크노11로 32,드론,"중소기업, 스타트업, 주식회사, 병역특례..업종무인 항공기 및 무인 비행장치 제조업",18,"120억 7,458만",134
