기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
제일기계,경력 3년↑ · 정규직,"연봉 4,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",경북 경주시 외동읍 모화산단길 136,로봇제어,"중소기업, 스타트업, 유한회사, 병역특례..업종그 외 기타 일반목적용 기계 제조업",42,"194억 4,715만",378
언맨드솔루션,경력무관 · 정규직,면접 후 결정,"서울 마포구 성암로 330, 4층 423호,424호,425호 (상암동,디엠씨첨단산업센터)",로봇제어,중소기업업종응용 소프트웨어 개발 및 공급업,35,-,379
유엔디,신입 · 경력 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 31,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",20,-,380
넥서스비,경력무관 · 정규직,면접 후 결정,"전북 전주시 완산구 천잠로 303, 121호 (효자동2가,전주대학교 문화기술)",로봇제어,중소기업업종그 외 기타 전자부품 제조업,24,-,381
엘엠엔틱바이오텍,경력 2년↑ · 정규직,면접 후 결정,"대구 달성군 현풍읍 테크노중앙대로 333, 507호 대구경북과학기술원",로봇제어,"중소기업, 주식회사업종자연과학 및 공학 융합 연구개발업",7,-,382
이노토피아,신입 · 경력 · 정규직,"연봉 5,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",경기 김포시 양촌읍 황금산단2로 78,로봇제어,"중소기업, 주식회사업종산업처리공정 제어장비 제조업",9,-,383
피치랩,경력 2년↑ · 정규직,면접 후 결정,"경기 성남시 수정구 고등로 3, A동 808호",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",6,-,384
에스엔텔,경력무관 · 정규직 외,면접 후 결정,"경북 포항시 남구 청암로 87, 7층 704호 (지곡동,체인지업 그라운드)",로봇제어,"중소기업, 주식회사업종의료용품 및 기타 의약 관련제품 제조업",3,-,385
"Control Techniques, a NIDEC company",신입 · 경력 · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 문정현대지식산업센터 313,314호(문정동)",로봇제어,"외국 법인기업, 주식회사, 수출입 기업업종전기·전자·제어설립일",-,-,386
큐오티,1 ~ 9년 · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","부산 해운대구 센텀중앙로 97, A동 38층 3804호 (재송동,센텀스카이비즈)",로봇제어,중소기업업종그 외 기타 전자부품 제조업,7,-,387
어드밴텍케이알,신입 · 경력 · 정규직,면접 후 결정,"서울 강서구 강서로 463, 4층 (마곡동,새싹타워)",로봇제어,"중견기업, 외국인 투자기업, 병역특례 인..업종컴퓨터 및 주변장치, 소프트웨어 도매업",116,-,388
일렉트릭스,경력 2년↑ · 정규직,면접 후 결정,부산 강서구 경전철로24번길 43-3,로봇제어,"중소기업, 외부감사법인, 주식회사업종전기용 기계ㆍ장비 및 관련 기자재 도매업",36,-,389
나비프라,신입 · 경력 · 정규직 외,면접 후 결정,"서울 서초구 서초대로73길 7, 3층",로봇제어,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",36,-,390
THE SYSTEM,경력 3년↑ · 정규직,"연봉 4,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",부산 강서구 유통단지1로57번길 34,로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업홈페이지,-,-,391
우림이엔지,경력 3년↑ · 정규직,면접 후 결정,경북 칠곡군 왜관읍 강변대로 677-15,로봇제어,중소기업업종그 외 기타 특수목적용 기계 제조업,16,118억 700만,392
파워오토메이션,경력무관 · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, M동 2층 209호",로봇제어,"중소기업, 외부감사법인, 주식회사, 수출..",37,69억 688만,393
마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만,394
코오롱인더스트리,신입 · 경력 · 계약직,면접 후 결정,서울 강서구 마곡동로 110,로봇제어,"코스피, 대기업, 1000대기업, 협동조합, ..업종합성섬유 제조업",629,-,395
휴머레인컨설팅,경력 3년↑ · 정규직,면접 후 결정,서울 서초구 서초동 1330-3 엔데버빌딩 13층,로봇제어,-,-,-,396
휴머레인컨설팅,경력 3년↑ · 정규직,면접 후 결정,서울 서초구 서초동 1330-3 엔데버빌딩 13층,로봇제어,-,-,-,397
바른인사컨설팅,경력무관 · 파견직,면접 후 결정,"서울 구로구 디지털로33길 11, 209호",로봇제어,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",700,300억,398
굿커리어,4 ~ 16년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,로봇제어,중소기업업종경영 컨설팅업홈페이지,-,-,399
투비파트너즈,경력 3년↑ · 정규직,면접 후 결정,"서울 서초구 효령로 97, 2층",로봇제어,"중소기업, 주식회사업종고용 알선업설립일",-,-,400
스카우트플랜,신입 · 경력 · 위촉직 외,면접 후 결정,서울 강남구 논현로 340 정도빌딩 5층,로봇제어,주식회사업종연구소·컨설팅·조사설립일,-,-,401
에이치알그룹,10 ~ 18년 · 정규직,"연봉 9,000 만원 (주 50시간)근무형태상세보기상세근무 시간 주 50시간 기준 최저임금은 29,816,640원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 서초구 강남대로 291, 11층",로봇제어,"중소기업, 외국 법인기업, 주식회사, 외..업종고용 알선업설립일*",-,"22억 6,230만",402
굿커리어,경력무관 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,로봇제어,중소기업업종경영 컨설팅업홈페이지,-,-,403
굿커리어,7 ~ 15년 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,로봇제어,중소기업업종경영 컨설팅업홈페이지,-,-,404
에이치알포유,3 ~ 10년 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",405
피플렙,3 ~ 20년 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",406
에이치알포유,10 ~ 15년 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",407
에이치알포유,5 ~ 10년 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",408
피플렙,4 ~ 11년 · 정규직,면접 후 결정,경기 광주시 곤지암읍 경충대로 732-37,로봇제어,"중소기업, 스타트업, 외부감사법인, 연구..업종반도체 제조용 기계 제조업",200,"1,795억 6,269만",409
닥터파인드,7 ~ 17년 · 정규직,면접 후 결정,"서울 송파구 올림픽로 336, 1802호",로봇제어,중소기업업종고용 알선업홈페이지,-,-,410
닥터파인드,경력 7년↑ · 정규직,면접 후 결정,"서울 송파구 올림픽로 336, 1802호",로봇제어,중소기업업종고용 알선업홈페이지,-,-,411
모건앤뱅스컨설팅,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 영동대로 511, 30층 3022호",로봇제어,"중소기업, 주식회사설립일*",-,-,412
사람인에이치에스,2 ~ 6년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",로봇제어,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,413
㈜벤처피플,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로87길 36, 23층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업",11,-,414
모건앤뱅스컨설팅,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 영동대로 511, 30층 3022호",로봇제어,"중소기업, 주식회사설립일*",-,-,415
브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",로봇제어,중소기업업종경영 컨설팅업설립일*,-,-,416
사람인에이치에스,경력무관 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",로봇제어,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,417
바인컨설팅,3 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 논현로159길 20, 2층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업",35,30억,418
에이치알포유,경력 2년↑ · 정규직,면접 후 결정,울산 울주군 온산읍 처용산업로 6,로봇제어,"중견기업, 외국 법인기업, 외부감사법인,..업종그 외 자동차용 신품 부품 제조업",450,-,419
프로페셔날핸즈인핸즈코리아,4 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로84길 9, 2층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업",15,-,420
프로페셔날핸즈인핸즈코리아,5 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로84길 9, 2층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업",15,-,421
지에스이,경력 5년↑ · 계약직,"4,000 만원",인천 미추홀구 염전로201번길 51-23,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",7,-,422
유웨이써치앤컨설팅,경력 5년↑ · 정규직,면접 후 결정,"서울 서초구 남부순환로347길 52, 2층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,423
유웨이써치앤컨설팅,경력 4년↑ · 정규직,면접 후 결정,"서울 서초구 남부순환로347길 52, 2층",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,424
엠에스코리아,경력무관 · 정규직,"연봉 4,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",인천 계양구 계산새로 71 하이베라스,로봇제어,-,-,-,425
메이븐앤컴퍼니,경력 3년↑ · 정규직,면접 후 결정,"서울 영등포구 선유로13길 25, 709호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업",30,-,426
굿커리어,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,로봇제어,중소기업업종경영 컨설팅업홈페이지,-,-,427
쓰리핸즈(3Handz),8 ~ 12년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,로봇제어,-,-,-,428
쓰리핸즈(3Handz),3 ~ 5년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,로봇제어,-,-,-,429
쓰리핸즈(3Handz),5 ~ 10년 · 정규직,면접 후 결정,서울 서초구 바우뫼로 222 영진빌딩,로봇제어,-,-,-,430
비에이블컨설팅그룹,경력 4년↑ · 정규직,면접 후 결정,"서울 금천구 가산디지털2로 165, 1501호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,431
골든비네트워크,경력(년수무관) · 정규직,면접 후 결정,"서울 서초구 신반포로 326-10, 305호",로봇제어,"중소기업, 주식회사업종고용 알선업설립일",-,-,432
골든비네트워크,경력(년수무관) · 정규직,면접 후 결정,"서울 서초구 신반포로 326-10, 305호",로봇제어,"중소기업, 주식회사업종고용 알선업설립일",-,-,433
주식회사 미래기연,경력 3년↑ · 정규직,"3,600 만원",경기 시흥시 마유로 12,로봇제어,"중소기업, 스타트업, 주식회사, 병역특례..업종금속 주조 및 기타 야금용 기계 제조업",8,-,434
반석써치,7 ~ 15년 · 정규직,면접 후 결정,"서울 강남구 테헤란로64길 16-8, 4층 (대치동,금척빌딩)",로봇제어,중소기업업종상품 종합 도매업설립일,-,-,435
솔찬컴퍼니,경력 5년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,436
솔찬컴퍼니,3 ~ 7년 · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,437
솔찬컴퍼니,경력 3년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,438
솔찬컴퍼니,경력 3년↑ · 정규직,면접 후 결정,"경기 수원시 영통구 법조로 25, A동 3505호",로봇제어,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,439
