기업이름,분야,평점,연봉,2차산업군
에코바이오홀딩스(주) ,제조/화학,1.8,2695,석유/화학/에너지
캔두(주) ,제조/화학,2.4,3553,석유/화학/에너지
한국석유공업(주) ,제조/화학,2.9,4001,석유/화학/에너지
(주)원풍 ,제조/화학,2.1,2949,석유/화학/에너지
(주)한화/방산 ,제조/화학,3.3,4674,석유/화학/에너지
(주)유니테크 ,제조/화학,2.4,3695,석유/화학/에너지
뉴앤뉴(주) ,제조/화학,1.8,2907,석유/화학/에너지
머크퍼포먼스머티리얼즈(주) ,제조/화학,3.5,4867,석유/화학/에너지
(주)아이피케이 ,제조/화학,3.1,5243,석유/화학/에너지
(주)에스테르 ,제조/화학,2.6,2660,석유/화학/에너지
대영유비텍(주) ,제조/화학,2.3,3103,석유/화학/에너지
삼박엘에프티(주) ,제조/화학,2.5,3355,석유/화학/에너지
(주)동남합성 ,제조/화학,3.0,3883,석유/화학/에너지
(주)동부팜한농 ,제조/화학,2.6,4366,석유/화학/에너지
에어레인(주) ,제조/화학,1.9,3693,석유/화학/에너지
농심엔지니어링(주) ,제조/화학,2.6,4895,석유/화학/에너지
미래솔레어(주) ,제조/화학,3.0,3971,석유/화학/에너지
에이앤에이이엔지(주) ,제조/화학,2.6,4046,석유/화학/에너지
오엔씨네트웍스(주) ,제조/화학,2.1,2853,석유/화학/에너지
지씨티리써치(주) ,제조/화학,2.8,4893,석유/화학/에너지
(주)세화피앤씨 ,제조/화학,3.3,3669,석유/화학/에너지
인터워크코리아(주) ,제조/화학,1.6,3438,석유/화학/에너지
지에스칼텍스(주)여수공장 ,제조/화학,3.9,4917,석유/화학/에너지
태양기술개발(주) ,제조/화학,2.5,2834,석유/화학/에너지
(주)버디네트웍스 ,제조/화학,2.7,3070,석유/화학/에너지
(주)엔코아네트웍스 ,제조/화학,2.9,2990,석유/화학/에너지
미원화학(주) ,제조/화학,3.3,3979,석유/화학/에너지
송학(주) ,제조/화학,1.8,3170,석유/화학/에너지
(주)오유인터내셔널 ,제조/화학,2.8,3668,석유/화학/에너지
신영프레시젼(주) ,제조/화학,2.3,3232,석유/화학/에너지
(주)팜클 ,제조/화학,2.7,3363,석유/화학/에너지
(주)비더블유에스텍 ,제조/화학,1.9,3127,석유/화학/에너지
(주)이엠앤아이 ,제조/화학,2.5,3881,석유/화학/에너지
(주)진코스텍 ,제조/화학,2.3,3198,석유/화학/에너지
금호피앤비화학(주) ,제조/화학,2.9,5212,석유/화학/에너지
(주)에바스코스메틱 ,제조/화학,1.4,2386,석유/화학/에너지
(주)에버켐텍 ,제조/화학,2.4,3058,석유/화학/에너지
(주)에이엠지아이큐씨 ,제조/화학,2.2,3220,석유/화학/에너지
(주)폼웍스 ,제조/화학,2.3,3745,석유/화학/에너지
다이텍연구원 ,제조/화학,3.4,3164,석유/화학/에너지
아데카코리아(주) ,제조/화학,3.7,4405,석유/화학/에너지
욱성화학(주) ,제조/화학,2.3,3366,석유/화학/에너지
한국엔지니어링플라스틱(주) ,제조/화학,3.5,5092,석유/화학/에너지
(주)농협케미컬 ,제조/화학,2.6,4881,석유/화학/에너지
에쓰오일토탈에너지스윤활유(주) ,제조/화학,2.9,4433,석유/화학/에너지
이넬화장품(주) ,제조/화학,2.7,3323,석유/화학/에너지
한국고분자시험연구소(주) ,제조/화학,2.6,3221,석유/화학/에너지
(주)이엔지코리아 ,제조/화학,2.3,3357,석유/화학/에너지
(주)한수 ,제조/화학,3.1,3541,석유/화학/에너지
신젠타코리아(주) ,제조/화학,3.4,4632,석유/화학/에너지
(주)하이코리아 ,제조/화학,2.2,3007,석유/화학/에너지
썬화인글로벌(주) ,제조/화학,2.2,3040,석유/화학/에너지
티케이지휴켐스(주) ,제조/화학,3.2,5545,석유/화학/에너지
(주)무궁화 ,제조/화학,2.4,3449,석유/화학/에너지
도요엔지니어링코리아(주) ,제조/화학,3.6,5184,석유/화학/에너지
신진화학(주) ,제조/화학,2.2,3767,석유/화학/에너지
(주)씰테크 ,제조/화학,2.3,3327,석유/화학/에너지
(주)아주화장품 ,제조/화학,2.2,3021,석유/화학/에너지
(주)오공 ,제조/화학,2.2,3226,석유/화학/에너지
앤스코(주) ,제조/화학,2.5,3312,석유/화학/에너지
