기업이름,분야,평점,연봉,2차산업군
(주)케이비엘러먼트 ,제조/화학,1.9,3480,반도체/디스플레이
디콘전자(주) ,제조/화학,1.8,2360,반도체/디스플레이
부원광학(주) ,제조/화학,2.5,2960,반도체/디스플레이
비전넥스트(주) ,제조/화학,3.5,0,반도체/디스플레이
씨엠아이텍(주) ,제조/화학,2.9,4869,반도체/디스플레이
옵토니카(주) ,제조/화학,1.6,2835,반도체/디스플레이
(주)엠엔텍 ,제조/화학,2.6,3391,반도체/디스플레이
(주)파이칩스 ,제조/화학,3.3,3816,반도체/디스플레이
광우(주) ,제조/화학,2.1,3578,반도체/디스플레이
다솜테크(주) ,제조/화학,3.4,3205,반도체/디스플레이
다이아소닉테크놀로지(주) ,제조/화학,3.3,3226,반도체/디스플레이
델타전자(주) ,제조/화학,2.1,2961,반도체/디스플레이
디브이에스코리아(주) ,제조/화학,2.6,4646,반도체/디스플레이
메이플세미컨덕터(주) ,제조/화학,1.6,2831,반도체/디스플레이
발렉스코리아(주) ,제조/화학,2.7,4825,반도체/디스플레이
보다테크(주) ,제조/화학,2.3,3895,반도체/디스플레이
성주음향(주) ,제조/화학,2.3,3142,반도체/디스플레이
에이치아이디솔루션(주) ,제조/화학,1.3,3324,반도체/디스플레이
엔터기술(주) ,제조/화학,2.4,4006,반도체/디스플레이
엘피전자(주) ,제조/화학,2.6,3246,반도체/디스플레이
인티맥스(주) ,제조/화학,2.7,5472,반도체/디스플레이
(주)노비텍 ,제조/화학,2.2,3586,반도체/디스플레이
(주)반도기전 ,제조/화학,2.3,3257,반도체/디스플레이
(주)씨엠테크 ,제조/화학,3.5,3775,반도체/디스플레이
(주)옵토전자 ,제조/화학,3.2,3478,반도체/디스플레이
(주)요크 ,제조/화학,2.3,2837,반도체/디스플레이
대명엔터프라이즈(주) ,제조/화학,3.7,3467,반도체/디스플레이
레이디오펄스(주) ,제조/화학,3.2,4516,반도체/디스플레이
에스티엑스솔라(주) ,제조/화학,2.3,4075,반도체/디스플레이
유비머트리얼즈(주) ,제조/화학,1.8,3872,반도체/디스플레이
유창옵티칼(주) ,제조/화학,2.7,4474,반도체/디스플레이
이비덴코리아(주) ,제조/화학,2.8,5067,반도체/디스플레이
인토(주) ,제조/화학,2.0,3363,반도체/디스플레이
코아옵틱스(주) ,제조/화학,1.8,2603,반도체/디스플레이
한종엔지니어링(주) ,제조/화학,3.5,7035,반도체/디스플레이
(주)글로벌테크놀로지 ,제조/화학,2.8,3984,반도체/디스플레이
(주)루벤틱스에이디엠 ,제조/화학,1.2,4271,반도체/디스플레이
(주)엠시스 ,제조/화학,3.4,8958,반도체/디스플레이
(주)자람테크놀로지 ,제조/화학,3.6,3610,반도체/디스플레이
