기업이름,분야,평점,연봉,2차산업군
한성아이디일오공(주) ,건설업,1.9,2545,건설업
해주엔지니어링(주) ,건설업,1.7,3783,건설업
현대적산엔지니어링(주) ,건설업,2.4,3032,건설업
(주)아이지엠아이디 ,건설업,2.5,3561,건설업
공간종합건축사사무소 ,건설업,2.8,3493,건설업
앤츠컴(주) ,건설업,2.5,2998,건설업
티스퀘어(주) ,건설업,1.9,2632,건설업
한국히타치(주) ,건설업,3.6,5560,건설업
(주)보미엔지니어링 ,건설업,2.1,4158,건설업
(주)웃샘 ,건설업,3.1,3483,건설업
센구조연구소 ,건설업,2.9,3421,건설업
신동아종합건설(주) ,건설업,2.2,3581,건설업
신한종합건축사사무소(주) ,건설업,3.0,3834,건설업
한솔환경산업(주) ,건설업,1.5,2792,건설업
해님종합건설(주) ,건설업,2.8,5838,건설업
(주)크리에이티브디자인스튜디오 ,건설업,2.1,3663,건설업
(주)호반산업 ,건설업,2.9,5161,건설업
금전기업(주) ,건설업,1.7,2565,건설업
유아컨설턴트종합건축사사무소 ,건설업,2.5,2658,건설업
(주)동아기술공사 ,건설업,2.6,3430,건설업
(주)시티건설 ,건설업,2.5,6056,건설업
(주)에스엠디자인 ,건설업,2.9,4324,건설업
평택도시공사 ,건설업,3.5,3634,건설업
한국스카우트연맹 ,건설업,1.8,3274,건설업
한덕엔지니어링(주) ,건설업,2.6,2545,건설업
(주)성우에스아이 ,건설업,1.5,4709,건설업
(주)에이스페이스마케팅 ,건설업,2.6,2877,건설업
(주)오렌지엔지니어링 ,건설업,2.8,3972,건설업
대일이엔씨기술(주) ,건설업,1.8,2769,건설업
세일이엔에스(주) ,건설업,2.6,3348,건설업
우림플랜트(주) ,건설업,2.3,3799,건설업
이엑스디자인 ,건설업,1.3,1842,건설업
(재)강원테크노파크 ,건설업,3.6,3418,건설업
(주)신영 ,건설업,3.0,4459,건설업
(주)엔쓰리디앤티 ,건설업,2.6,2795,건설업
(주)전인씨엠건축사사무소 ,건설업,3.2,3189,건설업
다림건설(주) ,건설업,2.5,3657,건설업
디엔비건축사사무소 ,건설업,3.3,3764,건설업
문화체육관광부 ,건설업,3.4,3891,건설업
아트인(주) ,건설업,2.1,2567,건설업
토문엔지니어링건축사사무소(주) ,건설업,3.6,3533,건설업
