기업이름,분야,평점,연봉,2차산업군
캐스코드(주) ,제조/화학,2.0,4513,금속/재료/철강
티에스자바(주) ,제조/화학,2.0,3081,금속/재료/철강
(주)한영피엔에스 ,제조/화학,2.4,2538,금속/재료/철강
동국씨엠(주) ,제조/화학,3.7,5307,금속/재료/철강
선일공업(주) ,제조/화학,1.8,2786,금속/재료/철강
쌍용머티리얼(주) ,제조/화학,3.3,4473,금속/재료/철강
평산에스아이(주) ,제조/화학,2.8,4575,금속/재료/철강
한국아사히프리텍(주) ,제조/화학,2.3,3074,금속/재료/철강
(주)베사 ,제조/화학,1.6,3755,금속/재료/철강
(주)케이에스엠메탈스 ,제조/화학,3.1,4843,금속/재료/철강
(주)티엠에스스틸 ,제조/화학,2.5,2912,금속/재료/철강
광명이엔지(주) ,제조/화학,2.0,2679,금속/재료/철강
국민정밀(주) ,제조/화학,2.3,3243,금속/재료/철강
성림 ,제조/화학,2.5,2200,금속/재료/철강
세안(주) ,제조/화학,2.8,2937,금속/재료/철강
신진금고(주) ,제조/화학,2.3,2925,금속/재료/철강
일광공구공업(주) ,제조/화학,3.1,3595,금속/재료/철강
자산유리(주) ,제조/화학,1.8,4471,금속/재료/철강
(주)녹수텍스테리어 ,제조/화학,2.1,3361,금속/재료/철강
(주)아시아 ,제조/화학,2.6,2949,금속/재료/철강
(주)유니트스페셜 ,제조/화학,2.2,2298,금속/재료/철강
금강 ,제조/화학,1.9,3591,금속/재료/철강
대한메탈(주) ,제조/화학,2.3,3345,금속/재료/철강
댄포스파워솔루션즈2(주) ,제조/화학,2.1,3683,금속/재료/철강
메인텍(주) ,제조/화학,1.7,3942,금속/재료/철강
서머텍코리아(주) ,제조/화학,2.1,3683,금속/재료/철강
우신금속(주) ,제조/화학,2.8,3520,금속/재료/철강
유노빅스이엔씨(주) ,제조/화학,3.3,3512,금속/재료/철강
폴그린테크(주) ,제조/화학,3.3,2663,금속/재료/철강
한진철관(주) ,제조/화학,3.2,3030,금속/재료/철강
해솔산업(주) ,제조/화학,2.4,2567,금속/재료/철강
(주)금강토탈디자인 ,제조/화학,1.3,2448,금속/재료/철강
(주)상봉코포레이션 ,제조/화학,2.5,3496,금속/재료/철강
대영금속(주) ,제조/화학,2.4,2969,금속/재료/철강
도스코(주) ,제조/화학,1.8,2632,금속/재료/철강
동아스틸(주) ,제조/화학,2.0,3032,금속/재료/철강
미성기업 ,제조/화학,4.1,3268,금속/재료/철강
부국철강(주) ,제조/화학,1.6,2750,금속/재료/철강
진양특수강(주) ,제조/화학,2.5,4683,금속/재료/철강
(주)에너텍 ,제조/화학,3.3,2785,금속/재료/철강
라파즈한라시멘트(주) ,제조/화학,3.4,5795,금속/재료/철강
베스틴(주) ,제조/화학,1.9,3274,금속/재료/철강
새누 ,제조/화학,2.7,2910,금속/재료/철강
캥스터즈(주) ,제조/화학,4.9,0,금속/재료/철강
캬라반이에스(주) ,제조/화학,2.6,4060,금속/재료/철강
케이테코(주) ,제조/화학,2.4,3603,금속/재료/철강
한국트리비움팩키징(주) ,제조/화학,1.9,3909,금속/재료/철강
(주)리스트벤처 ,제조/화학,4.5,5070,금속/재료/철강
(주)중앙씨엠아이 ,제조/화학,2.2,3030,금속/재료/철강
신화금속(주) ,제조/화학,1.7,3373,금속/재료/철강
알루스(주) ,제조/화학,3.0,2963,금속/재료/철강
유진건철(주) ,제조/화학,2.2,0,금속/재료/철강
일진엔티에스(주) ,제조/화학,2.0,2622,금속/재료/철강
정석리파인 ,제조/화학,1.0,2211,금속/재료/철강
제일진공H.T ,제조/화학,4.3,3196,금속/재료/철강
코리아니켈(주) ,제조/화학,2.7,5283,금속/재료/철강
태형금속공업(주) ,제조/화학,2.3,3105,금속/재료/철강
(주)국제에스티 ,제조/화학,2.2,2644,금속/재료/철강
(주)신창산업 ,제조/화학,2.6,2797,금속/재료/철강
(주)썬텍인더스트리 ,제조/화학,3.2,5201,금속/재료/철강
(주)엠텍 ,제조/화학,2.8,3686,금속/재료/철강
(주)티엔에스코리아 ,제조/화학,3.0,2298,금속/재료/철강
대세산업(주) ,제조/화학,2.6,3821,금속/재료/철강
동성정공(주) ,제조/화학,2.4,2298,금속/재료/철강
두진 ,제조/화학,3.2,3375,금속/재료/철강
솔로몬테크놀러지(주) ,제조/화학,1.6,2395,금속/재료/철강
쎄라텍코(주) ,제조/화학,1.8,2976,금속/재료/철강
태우(주) ,제조/화학,1.4,2773,금속/재료/철강
통일보일러(주) ,제조/화학,2.0,2550,금속/재료/철강
(주)노드락코리아 ,제조/화학,3.8,3645,금속/재료/철강
(주)비와이인더스트리 ,제조/화학,1.5,2797,금속/재료/철강
(주)송정하이테크 ,제조/화학,1.5,3075,금속/재료/철강
(주)픽슨 ,제조/화학,2.8,3727,금속/재료/철강
나노앤텍(주) ,제조/화학,2.0,4783,금속/재료/철강
보랄코리아석고(주) ,제조/화학,3.5,0,금속/재료/철강
부강샘스(주) ,제조/화학,3.3,2377,금속/재료/철강
삼화정밀(주) ,제조/화학,2.5,0,금속/재료/철강
스페이스인코(주) ,제조/화학,2.3,2781,금속/재료/철강
씨케이코앤(주) ,제조/화학,3.3,3571,금속/재료/철강
아이언(주) ,제조/화학,3.3,3100,금속/재료/철강
에스비씨(주) ,제조/화학,4.3,3426,금속/재료/철강
우전 ,제조/화학,1.5,3012,금속/재료/철강
일도에프엔씨(주) ,제조/화학,1.5,3139,금속/재료/철강
지오시스(주) ,제조/화학,3.0,4381,금속/재료/철강
피제이메탈(주) ,제조/화학,3.5,3513,금속/재료/철강
(주)세기위더스 ,제조/화학,4.3,3633,금속/재료/철강
(주)신원미크론 ,제조/화학,1.0,2340,금속/재료/철강
(주)씨엔에스 ,제조/화학,2.3,5024,금속/재료/철강
(주)에버넷 ,제조/화학,4.0,3132,금속/재료/철강
(주)에스디레이저 ,제조/화학,2.0,0,금속/재료/철강
(주)제이제이테크 ,제조/화학,1.3,2375,금속/재료/철강
(주)지용금속 ,제조/화학,2.3,3517,금속/재료/철강
(주)한영산업 ,제조/화학,1.3,3780,금속/재료/철강
금호이엔지(주) ,제조/화학,2.0,2340,금속/재료/철강
대원레미콘(주) ,제조/화학,3.7,2779,금속/재료/철강
대창 ,제조/화학,2.3,3567,금속/재료/철강
대한특수강(주) ,제조/화학,2.7,3717,금속/재료/철강
미도랜드(주) ,제조/화학,2.3,2677,금속/재료/철강
봉신(주) ,제조/화학,3.0,3245,금속/재료/철강
에스에이치엠(주) ,제조/화학,1.7,2671,금속/재료/철강
와이케이스틸(주) ,제조/화학,3.7,0,금속/재료/철강
월드테크 ,제조/화학,3.0,3424,금속/재료/철강
웰로스코리아(주) ,제조/화학,1.3,2358,금속/재료/철강
유니온스틸(주) ,제조/화학,4.0,5134,금속/재료/철강
인왕산기(주) ,제조/화학,3.3,2372,금속/재료/철강
제일기업 ,제조/화학,3.0,2255,금속/재료/철강
지오텍 ,제조/화학,2.7,3383,금속/재료/철강
한국코벨코용접(주) ,제조/화학,3.7,5185,금속/재료/철강
한아툴스(주) ,제조/화학,3.3,2338,금속/재료/철강
(주)대운씨스템 ,제조/화학,1.0,2835,금속/재료/철강
(주)마운트지앤디 ,제조/화학,4.0,0,금속/재료/철강
(주)세진이앤드티 ,제조/화학,2.0,4037,금속/재료/철강
(주)월드크로스 ,제조/화학,2.5,2299,금속/재료/철강
(주)제이엠 ,제조/화학,1.0,0,금속/재료/철강
경일정밀(주) ,제조/화학,2.5,4062,금속/재료/철강
구봉(주) ,제조/화학,2.5,2837,금속/재료/철강
글로툴바이오테크(주) ,제조/화학,2.5,2399,금속/재료/철강
다솔금속(주) ,제조/화학,3.0,4826,금속/재료/철강
대성이엔티(주) ,제조/화학,2.0,1850,금속/재료/철강
대일티앤씨(주) ,제조/화학,4.0,3247,금속/재료/철강
동부특수강(주) ,제조/화학,4.0,4858,금속/재료/철강
동아실업 ,제조/화학,3.5,3508,금속/재료/철강
두루텍(주) ,제조/화학,3.0,2597,금속/재료/철강
디디다이아(주) ,제조/화학,2.0,3662,금속/재료/철강
명진금속 ,제조/화학,2.5,3334,금속/재료/철강
벨금속공업(주) ,제조/화학,3.0,2298,금속/재료/철강
삼정이엔지(주) ,제조/화학,2.5,0,금속/재료/철강
성우하이테크(주) ,제조/화학,4.0,3119,금속/재료/철강
성화에스티(주) ,제조/화학,2.5,3910,금속/재료/철강
신승중공업(주) ,제조/화학,4.0,3705,금속/재료/철강
아르데코(주) ,제조/화학,4.5,2589,금속/재료/철강
에이에스에이(주) ,제조/화학,3.0,2255,금속/재료/철강
에코닉스(주) ,제조/화학,1.5,2298,금속/재료/철강
우리기업(주) ,제조/화학,1.0,2098,금속/재료/철강
유영산업 ,제조/화학,4.0,2475,금속/재료/철강
정한에스앤티 ,제조/화학,2.5,0,금속/재료/철강
진성이앤지(주) ,제조/화학,2.0,4388,금속/재료/철강
