기업이름,분야,평점,연봉,2차산업군
발레오오토모티브코리아(주) ,제조/화학,2.5,5563,기계/설비/자동차
타타대우상용차(주) ,제조/화학,3.6,5897,기계/설비/자동차
(주)얼라인드제네틱스 ,제조/화학,3.3,4488,기계/설비/자동차
(주)에스엠코어 ,제조/화학,2.2,4073,기계/설비/자동차
(주)지에스메디칼 ,제조/화학,2.2,3417,기계/설비/자동차
건화트렐러보그(주) ,제조/화학,2.6,4048,기계/설비/자동차
대동하이렉스(주) ,제조/화학,2.7,4355,기계/설비/자동차
(주)이파워기술단 ,제조/화학,2.4,3117,기계/설비/자동차
리텍(주) ,제조/화학,2.6,3881,기계/설비/자동차
(주)엠아이텍 ,제조/화학,2.7,3419,기계/설비/자동차
(주)제이에스테크 ,제조/화학,1.6,3156,기계/설비/자동차
(주)한일진공 ,제조/화학,2.3,3172,기계/설비/자동차
성안기계(주) ,제조/화학,2.4,3252,기계/설비/자동차
(주)비엠코리아 ,제조/화학,1.6,2929,기계/설비/자동차
(주)청호ICT ,제조/화학,2.2,3231,기계/설비/자동차
동인중공업(주) ,제조/화학,3.1,3468,기계/설비/자동차
